id,post_id,topic_id,post_number,created_at,updated_at,deleted_at,deleted_by
9953,30795,11015,1,2021-08-14 07:43:27 UTC,2021-08-14 07:43:27 UTC,,
10006,10801,4285,1,2021-08-23 15:52:41 UTC,2021-08-23 15:52:41 UTC,,
10007,30486,10922,1,2021-08-23 15:52:56 UTC,2021-08-23 15:52:56 UTC,,
10009,8340,3321,2,2021-08-23 15:53:25 UTC,2021-08-23 15:53:25 UTC,,
10010,30664,10968,1,2021-08-23 15:53:47 UTC,2021-08-23 15:53:47 UTC,,
10185,31517,11201,1,2021-09-17 17:02:03 UTC,2021-09-17 17:02:03 UTC,,
10186,31537,11201,11,2021-09-17 18:02:59 UTC,2021-09-17 18:02:59 UTC,,
10187,31539,11201,13,2021-09-17 19:15:04 UTC,2021-09-17 19:15:04 UTC,,
10188,31545,11201,15,2021-09-17 19:58:11 UTC,2021-09-17 19:58:11 UTC,,
10189,31546,11201,16,2021-09-17 20:00:40 UTC,2021-09-17 20:00:40 UTC,,
10198,31559,11201,22,2021-09-18 18:50:50 UTC,2021-09-18 18:50:50 UTC,,
10257,31619,11221,1,2021-09-23 20:44:15 UTC,2021-09-23 20:44:15 UTC,,
10259,22495,8368,1,2021-09-24 01:19:41 UTC,2021-09-24 01:19:41 UTC,,
10466,32225,11403,1,2021-10-23 02:41:21 UTC,2021-10-23 02:41:21 UTC,,
10493,32345,11445,1,2021-10-26 13:40:34 UTC,2021-10-26 13:40:34 UTC,,
10508,32312,11431,1,2021-10-27 01:39:57 UTC,2021-10-27 01:39:57 UTC,,
10527,4873,1845,1,2021-11-01 05:19:53 UTC,2021-11-01 05:19:53 UTC,,
10528,32132,8503,18,2021-11-01 05:48:39 UTC,2021-11-01 05:48:39 UTC,,
10619,32871,11596,1,2021-11-16 19:12:22 UTC,2021-11-16 19:12:22 UTC,,
10620,32873,11596,2,2021-11-16 19:12:23 UTC,2021-11-16 19:12:23 UTC,,
10635,32930,11608,1,2021-11-19 21:47:33 UTC,2021-11-19 21:47:33 UTC,,
10637,32887,11600,1,2021-11-19 21:49:07 UTC,2021-11-19 21:49:07 UTC,,
10647,32939,11612,2,2021-11-22 01:16:36 UTC,2021-11-22 01:16:36 UTC,,
10648,32938,11612,1,2021-11-22 01:17:02 UTC,2021-11-22 01:17:02 UTC,,
10735,33086,11677,1,2021-12-05 04:04:57 UTC,2021-12-05 04:04:57 UTC,,
10737,33116,11677,8,2021-12-05 04:06:35 UTC,2021-12-05 04:06:35 UTC,,
10738,33107,11677,7,2021-12-05 04:06:43 UTC,2021-12-05 04:06:43 UTC,,
10759,13436,5226,1,2021-12-08 10:35:16 UTC,2021-12-08 10:35:16 UTC,,
10761,9556,3728,1,2021-12-08 12:20:33 UTC,2021-12-08 12:20:33 UTC,,
10788,28721,10313,1,2021-12-14 23:40:44 UTC,2021-12-14 23:40:44 UTC,,
10801,6916,2666,1,2021-12-20 05:08:56 UTC,2021-12-20 05:08:56 UTC,,
10813,189,109,1,2021-12-22 08:29:39 UTC,2021-12-22 08:29:39 UTC,,
10814,33447,11757,5,2021-12-22 08:31:02 UTC,2021-12-22 08:31:02 UTC,,
10883,33508,11840,1,2022-01-01 01:09:12 UTC,2022-01-01 01:09:12 UTC,,
10884,33510,11840,2,2022-01-01 01:17:35 UTC,2022-01-01 01:17:35 UTC,,
10905,33643,11882,3,2022-01-07 19:13:06 UTC,2022-01-07 19:13:06 UTC,,
10915,33566,11858,1,2022-01-08 23:45:44 UTC,2022-01-08 23:45:44 UTC,,
10917,33650,10389,8,2022-01-09 04:42:43 UTC,2022-01-09 04:42:43 UTC,,
10921,33678,10389,11,2022-01-09 11:53:48 UTC,2022-01-09 11:53:48 UTC,,
10922,33679,10389,12,2022-01-09 11:53:50 UTC,2022-01-09 11:53:50 UTC,,
10923,2742,899,1,2022-01-09 12:14:04 UTC,2022-01-09 12:14:04 UTC,,
10929,33692,10389,14,2022-01-10 20:57:44 UTC,2022-01-10 20:57:44 UTC,,
10962,33764,11933,1,2022-01-15 11:19:44 UTC,2022-01-15 11:19:44 UTC,,
10964,33777,11941,2,2022-01-15 17:44:13 UTC,2022-01-15 17:44:13 UTC,,
10987,33803,11941,4,2022-01-17 21:32:05 UTC,2022-01-17 21:32:05 UTC,,
10989,33783,11944,1,2022-01-17 21:33:00 UTC,2022-01-17 21:33:00 UTC,,
10990,33794,11944,8,2022-01-17 21:33:07 UTC,2022-01-17 21:33:07 UTC,,
10991,33770,11933,4,2022-01-17 21:35:21 UTC,2022-01-17 21:35:21 UTC,,
10992,33785,11944,3,2022-01-17 21:37:10 UTC,2022-01-17 21:37:10 UTC,,
10993,33815,11944,10,2022-01-17 22:19:36 UTC,2022-01-17 22:19:36 UTC,,
10994,26271,9438,1,2022-01-17 22:22:19 UTC,2022-01-17 22:22:19 UTC,,
10995,33726,9438,2,2022-01-17 22:22:23 UTC,2022-01-17 22:22:23 UTC,,
10996,33727,9438,3,2022-01-17 22:22:30 UTC,2022-01-17 22:22:30 UTC,,
10999,116,81,1,2022-01-17 22:35:02 UTC,2022-01-17 22:35:02 UTC,,
11042,31349,11160,1,2022-01-25 06:00:35 UTC,2022-01-25 06:00:35 UTC,,
11045,33931,11994,2,2022-01-25 17:44:26 UTC,2022-01-25 17:44:26 UTC,,
11104,34073,12038,1,2022-02-07 18:56:54 UTC,2022-02-07 18:56:54 UTC,,
11107,34116,12052,4,2022-02-08 03:18:52 UTC,2022-02-08 03:18:52 UTC,,
11108,34117,12052,5,2022-02-08 03:18:55 UTC,2022-02-08 03:18:55 UTC,,
11109,7725,3004,1,2022-02-08 03:19:06 UTC,2022-02-08 03:19:06 UTC,,
11110,7726,3004,2,2022-02-08 03:19:08 UTC,2022-02-08 03:19:08 UTC,,
11127,34153,12062,1,2022-02-11 16:10:00 UTC,2022-02-11 16:10:00 UTC,,
11128,34154,12062,2,2022-02-11 16:10:03 UTC,2022-02-11 16:10:03 UTC,,
11131,34187,12080,2,2022-02-13 09:17:56 UTC,2022-02-13 09:17:56 UTC,,
11133,34206,12089,2,2022-02-13 09:26:56 UTC,2022-02-13 09:26:56 UTC,,
11135,34209,12089,3,2022-02-13 15:04:35 UTC,2022-02-13 15:04:35 UTC,,
11141,34217,12089,5,2022-02-14 14:11:58 UTC,2022-02-14 14:11:58 UTC,,
11145,34223,12089,9,2022-02-14 17:42:19 UTC,2022-02-14 17:42:19 UTC,,
11159,34254,12107,1,2022-02-16 17:45:47 UTC,2022-02-16 17:45:47 UTC,,
11176,33846,11933,8,2022-02-20 12:36:54 UTC,2022-02-20 12:36:54 UTC,,
11177,34250,12089,11,2022-02-20 12:38:28 UTC,2022-02-20 12:38:28 UTC,,
11178,34044,12032,1,2022-02-20 14:34:21 UTC,2022-02-20 14:34:21 UTC,,
11209,34378,12151,2,2022-02-25 17:19:02 UTC,2022-02-25 17:19:02 UTC,,
11225,34445,12165,10,2022-02-26 15:58:01 UTC,2022-02-26 15:58:01 UTC,,
11226,29291,10491,1,2022-02-26 16:29:51 UTC,2022-02-26 16:29:51 UTC,,
11235,34463,12165,16,2022-02-27 19:13:56 UTC,2022-02-27 19:13:56 UTC,,
11236,34480,12187,2,2022-02-27 20:56:55 UTC,2022-02-27 20:56:55 UTC,,
11237,34482,12187,4,2022-02-27 20:57:06 UTC,2022-02-27 20:57:06 UTC,,
11238,34481,12187,3,2022-02-27 20:57:09 UTC,2022-02-27 20:57:09 UTC,,
11240,34488,12187,6,2022-02-27 23:10:37 UTC,2022-02-27 23:10:37 UTC,,
11244,34490,12187,7,2022-02-28 08:01:08 UTC,2022-02-28 08:01:08 UTC,,
11281,25592,9197,1,2022-03-04 19:13:45 UTC,2022-03-04 19:13:45 UTC,,
11306,34543,12165,20,2022-03-09 08:29:32 UTC,2022-03-09 08:29:32 UTC,,
11307,34544,12165,21,2022-03-09 08:29:34 UTC,2022-03-09 08:29:34 UTC,,
11311,34562,12107,10,2022-03-09 21:53:14 UTC,2022-03-09 21:53:14 UTC,,
11312,34564,12107,11,2022-03-09 21:53:19 UTC,2022-03-09 21:53:19 UTC,,
11313,34612,12107,15,2022-03-09 21:53:36 UTC,2022-03-09 21:53:36 UTC,,
11346,15800,6047,1,2022-03-14 21:12:17 UTC,2022-03-14 21:12:17 UTC,,
11358,34737,12299,1,2022-03-16 10:23:24 UTC,2022-03-16 10:23:24 UTC,,
11359,34732,12298,1,2022-03-16 10:23:38 UTC,2022-03-16 10:23:38 UTC,,
11382,31953,11325,5,2022-03-18 16:15:05 UTC,2022-03-18 16:15:05 UTC,,
11383,34748,12303,2,2022-03-18 16:24:13 UTC,2022-03-18 16:24:13 UTC,,
11384,34691,12275,2,2022-03-18 16:25:23 UTC,2022-03-18 16:25:23 UTC,,
11403,34832,12331,1,2022-03-22 14:41:52 UTC,2022-03-22 14:41:52 UTC,,
11446,34913,12360,1,2022-03-30 22:56:47 UTC,2022-03-30 22:56:47 UTC,,
11448,34935,12351,5,2022-03-30 22:57:45 UTC,2022-03-30 22:57:45 UTC,,
11449,34899,12351,4,2022-03-30 22:57:46 UTC,2022-03-30 22:57:46 UTC,,
11450,34886,12351,1,2022-03-30 22:58:07 UTC,2022-03-30 22:58:07 UTC,,
11490,35042,12408,1,2022-04-08 17:54:36 UTC,2022-04-08 17:54:36 UTC,,
11491,35077,12408,6,2022-04-08 18:06:34 UTC,2022-04-08 18:06:34 UTC,,
11492,35078,12408,7,2022-04-08 18:06:35 UTC,2022-04-08 18:06:35 UTC,,
11511,35152,12428,6,2022-04-11 16:33:53 UTC,2022-04-11 16:33:53 UTC,,
11512,35145,12446,1,2022-04-11 16:39:53 UTC,2022-04-11 16:39:53 UTC,,
11513,35125,12439,1,2022-04-11 16:40:06 UTC,2022-04-11 16:40:06 UTC,,
11514,35136,12439,2,2022-04-11 16:40:09 UTC,2022-04-11 16:40:09 UTC,,
11516,35174,12428,8,2022-04-11 17:51:48 UTC,2022-04-11 17:51:48 UTC,,
11525,35178,12428,11,2022-04-11 19:55:38 UTC,2022-04-11 19:55:38 UTC,,
11526,35181,12428,12,2022-04-11 19:55:49 UTC,2022-04-11 19:55:49 UTC,,
11527,35177,12428,10,2022-04-11 19:55:55 UTC,2022-04-11 19:55:55 UTC,,
11574,35293,12482,1,2022-04-19 03:41:44 UTC,2022-04-19 03:41:44 UTC,,
11584,35335,12500,2,2022-04-20 03:45:06 UTC,2022-04-20 03:45:06 UTC,,
11585,35294,12482,2,2022-04-20 03:45:29 UTC,2022-04-20 03:45:29 UTC,,
11611,35397,12528,1,2022-04-25 04:45:12 UTC,2022-04-25 04:45:12 UTC,,
11614,35433,12543,1,2022-04-25 10:04:51 UTC,2022-04-25 10:04:51 UTC,,
11615,35412,12534,2,2022-04-25 10:05:22 UTC,2022-04-25 10:05:22 UTC,,
11616,35411,12534,1,2022-04-25 10:05:23 UTC,2022-04-25 10:05:23 UTC,,
11617,35414,12534,4,2022-04-25 10:05:28 UTC,2022-04-25 10:05:28 UTC,,
11619,35435,12543,3,2022-04-25 11:12:48 UTC,2022-04-25 11:12:48 UTC,,
11623,35439,12543,5,2022-04-25 17:56:34 UTC,2022-04-25 17:56:34 UTC,,
11634,10888,4302,1,2022-04-29 10:33:13 UTC,2022-04-29 10:33:13 UTC,,
11648,35508,4302,3,2022-05-03 01:01:06 UTC,2022-05-03 01:01:06 UTC,,
11675,35583,12595,1,2022-05-09 02:24:20 UTC,2022-05-09 02:24:20 UTC,,
11680,16108,6197,1,2022-05-11 03:28:20 UTC,2022-05-11 03:28:20 UTC,,
11690,35655,12623,2,2022-05-12 14:36:53 UTC,2022-05-12 14:36:53 UTC,,
11691,35653,12623,1,2022-05-12 14:36:55 UTC,2022-05-12 14:36:55 UTC,,
11752,35875,12710,1,2022-05-20 19:17:19 UTC,2022-05-20 19:17:19 UTC,,
11756,10060,3953,1,2022-05-21 10:12:29 UTC,2022-05-21 10:12:29 UTC,,
11757,35789,12674,1,2022-05-21 10:12:59 UTC,2022-05-21 10:12:59 UTC,,
11766,35909,12187,15,2022-05-21 18:43:21 UTC,2022-05-21 18:43:21 UTC,,
11773,35884,12715,2,2022-05-23 00:50:11 UTC,2022-05-23 00:50:11 UTC,,
11774,35885,12715,3,2022-05-23 00:50:17 UTC,2022-05-23 00:50:17 UTC,,
11775,35886,12715,4,2022-05-23 00:50:20 UTC,2022-05-23 00:50:20 UTC,,
11776,35887,12715,5,2022-05-23 00:50:35 UTC,2022-05-23 00:50:35 UTC,,
11777,35894,12715,6,2022-05-23 00:50:37 UTC,2022-05-23 00:50:37 UTC,,
11853,36201,12848,2,2022-06-15 18:14:26 UTC,2022-06-15 18:14:26 UTC,,
11863,36264,12864,4,2022-06-22 07:24:38 UTC,2022-06-22 07:24:38 UTC,,
11864,36230,12864,1,2022-06-22 07:24:41 UTC,2022-06-22 07:24:41 UTC,,
11865,35793,12677,1,2022-06-22 07:24:54 UTC,2022-06-22 07:24:54 UTC,,
11867,36206,12853,2,2022-06-23 01:32:39 UTC,2022-06-23 01:32:39 UTC,,
11868,36276,12853,4,2022-06-23 01:32:44 UTC,2022-06-23 01:32:44 UTC,,
11869,36181,12836,1,2022-06-23 01:33:30 UTC,2022-06-23 01:33:30 UTC,,
11905,36373,12922,1,2022-07-02 04:20:14 UTC,2022-07-02 04:20:14 UTC,,
11907,12892,5030,1,2022-07-02 16:43:39 UTC,2022-07-02 16:43:39 UTC,,
11937,36408,12939,1,2022-07-07 14:28:41 UTC,2022-07-07 14:28:41 UTC,,
11939,36411,12940,2,2022-07-07 15:08:14 UTC,2022-07-07 15:08:14 UTC,,
11946,36470,12954,1,2022-07-08 19:57:48 UTC,2022-07-08 19:57:48 UTC,,
11947,36471,12954,2,2022-07-08 19:57:49 UTC,2022-07-08 19:57:49 UTC,,
11949,36476,12954,5,2022-07-08 22:11:43 UTC,2022-07-08 22:11:43 UTC,,
11968,4887,1850,1,2022-07-13 16:27:18 UTC,2022-07-13 16:27:18 UTC,,
11972,36566,12940,4,2022-07-14 09:31:36 UTC,2022-07-14 09:31:36 UTC,,
11974,1609,596,1,2022-07-14 16:51:56 UTC,2022-07-14 16:51:56 UTC,,
11976,36573,12991,1,2022-07-14 16:52:52 UTC,2022-07-14 16:52:52 UTC,,
11980,36577,12991,3,2022-07-14 21:40:11 UTC,2022-07-14 21:40:12 UTC,,
11981,36582,12991,4,2022-07-14 21:40:52 UTC,2022-07-14 21:40:52 UTC,,
11982,36581,12993,3,2022-07-14 21:42:47 UTC,2022-07-14 21:42:47 UTC,,
11983,36580,12993,2,2022-07-14 21:42:54 UTC,2022-07-14 21:42:54 UTC,,
11984,36579,12993,1,2022-07-14 21:42:56 UTC,2022-07-14 21:42:56 UTC,,
